,precision,recall,f1-score,support
AA,0.8181818181818182,0.75,0.782608695652174,12.0
CRC,0.7777777777777778,0.9333333333333333,0.8484848484848485,15.0
CTRL,1.0,0.875,0.9333333333333333,16.0
accuracy,0.8604651162790697,0.8604651162790697,0.8604651162790697,0.8604651162790697
macro avg,0.8653198653198654,0.8527777777777779,0.8548089591567853,43.0
weighted avg,0.8717406624383368,0.8604651162790697,0.8616723350798174,43.0
